fixture,config,c,status,nchol,c_mu,resid,e_1e,e_hf,e_x,e_hartree,e_rpa,de_hf,de_x,de_hartree,de_rpa,ref,sel_impl
uspp,baseline,4,ok,64,4.0,1.1801412243621685,2.6560513411953957,-1.338816095683043,-1.933708866357294,0.5948927706742511,-0.17240683921483585,0.23269364073678833,0.2701230642348227,-0.03742942349803435,0.05582524568963049,thc_ref,chol_metric_impl
uspp,baseline,6,ok,96,6.0,0.3346015703506511,2.656051341195353,-1.4642445904864663,-2.097759689704532,0.6335150992180658,-0.19807114683828328,0.10726514593336511,0.10607224088758471,0.0011929050457804014,0.030160938066183057,thc_ref,chol_metric_impl
uspp,baseline,8,ok,128,8.0,0.1121127966920703,2.6560513411952518,-1.5722821162446317,-2.178553662549185,0.6062715463045532,-0.22573696061876877,-0.0007723798248002733,0.025278268042931984,-0.026050647867732257,0.002495124285697564,thc_ref,chol_metric_impl
uspp,baseline,10,ok,160,10.0,0.025053352669474185,2.6560513411954227,-1.576605369361798,-2.200497722993348,0.6238923536315497,-0.227639321497959,-0.005095632941966688,0.0033342075987690123,-0.0084298405407357,0.000592763406507324,thc_ref,chol_metric_impl
uspp,baseline,12,ok,192,12.0,0.005409677245822597,2.656051341195369,-1.5710879297888098,-2.201028048175952,0.6299401183871423,-0.22816749617284554,0.00042180663102153737,0.0028038824161646936,-0.002382075785143156,6.458873162079604e-05,thc_ref,chol_metric_impl
uspp,f050,4,ok,64,4.0,0.7026225286832937,2.656051341195353,-1.3368782984689935,-1.9116230340781752,0.5747447356091817,-0.16473500009497657,0.23463143795083785,0.29220889651394155,-0.0575774585631037,0.06349708480948976,thc_ref,chol_metric_impl
uspp,f050,6,ok,96,6.0,0.2708234468726956,2.656051341195361,-1.514180937724943,-2.1121646657972066,0.5979837280722635,-0.20305698626245966,0.05732879869488827,0.09166726479491016,-0.03433846610002189,0.025175098642006677,thc_ref,chol_metric_impl
uspp,f050,8,ok,128,8.0,0.07544858205104282,2.6560513411954947,-1.5565821903350257,-2.1760516503940592,0.6194694600590336,-0.2255680305004139,0.014927546084805732,0.02778028019805756,-0.012852734113251829,0.0026640544040524294,thc_ref,chol_metric_impl
uspp,f050,10,ok,160,10.0,0.019550510571743555,2.656051341195422,-1.5745758855023029,-2.198196569739575,0.623620684237272,-0.22764104917241032,-0.003066149082471492,0.005635360852541904,-0.008701509935013396,0.0005910357320560167,thc_ref,chol_metric_impl
uspp,f050,12,ok,192,12.0,0.004825825687428443,2.6560513411953193,-1.5732714085437585,-2.199767579084015,0.6264961705402565,-0.22814329338021397,-0.0017616721239270827,0.0040643515081018045,-0.005826023632028887,8.879152425236847e-05,thc_ref,chol_metric_impl
uspp,f050_mbare,4,ok,128,8.0,0.07544858205101458,2.656051341195426,-1.498666715314102,-2.0431662354363502,0.5444995201222482,-0.18910286819144492,0.07284302110572938,0.16066569515576656,-0.08782267405003719,0.039129216713021414,thc_ref,chol_metric_impl
uspp,f050_mbare,6,ok,192,12.0,0.004825825687499818,2.6560513411954902,-1.5764419085631804,-2.159780561370048,0.5833386528068674,-0.22171638834916726,-0.004932172143349067,0.04405136922206898,-0.04898354136541805,0.006515696555299072,thc_ref,chol_metric_impl
uspp,f050_mbare,8,ok,256,16.0,0.00027916780322100667,2.6560513411954227,-1.5742509192724596,-2.1970428248466076,0.622791905574148,-0.2270409922477645,-0.0027411828526282545,0.006789105745509172,-0.009530288598137426,0.0011910926567018365,thc_ref,chol_metric_impl
uspp,f050_mbare,10,ok,320,20.0,1.918053805810597e-05,2.656051341195353,-1.569797526226506,-2.2002235481031933,0.6304260218766873,-0.22795356977466397,0.0017122101933253475,0.0036083824889234783,-0.0018961722955981308,0.00027851512980237025,thc_ref,chol_metric_impl
uspp,f050_mbare,12,ok,339,21.1875,9.488547262056494e-06,2.656051341195353,-1.5705309982344182,-2.202248840736439,0.6317178425020209,-0.22803346691844942,0.0009787381854131638,0.0015830898556776773,-0.0006043516702645135,0.00019861798601691905,thc_ref,chol_metric_impl
uspp,matten,4,ok,128,8.0,0.11211279669207316,2.656051341195483,-1.5038378665477212,-2.0509796619109206,0.5471417953631994,-0.1914843003273386,0.06767186987211016,0.15285226868119617,-0.08518039880908601,0.03674778457712774,thc_ref,chol_metric_impl
uspp,matten,6,ok,192,12.0,0.005409677245704729,2.656051341195361,-1.570365400218327,-2.1740124764331243,0.6036470762147974,-0.22227639292741233,0.0011443362015044478,0.029819454158992453,-0.028675117957488006,0.005955691977054006,thc_ref,chol_metric_impl
uspp,matten,8,ok,256,16.0,0.00026450401849111856,2.6560513411954227,-1.5783482093370707,-2.192527961521481,0.6141797521844106,-0.2264509528986029,-0.006838472917239269,0.011303969070635578,-0.018142441987874847,0.0017811320058634394,thc_ref,chol_metric_impl
uspp,matten,10,ok,320,20.0,2.520482812800135e-05,2.6560513411952518,-1.5747887948436035,-2.2015978617602183,0.6268090669166149,-0.2280826382056712,-0.0032790584237720743,0.0022340688318984725,-0.005513127255670547,0.0001494466987951304,thc_ref,chol_metric_impl
uspp,matten,12,ok,345,21.5625,9.903904831154875e-06,2.6560513411954902,-1.5714853378812288,-2.2030134909149712,0.6315281530337424,-0.2282148172806833,2.4398538602588005e-05,0.000818439677145566,-0.000794041138542978,1.7267623783040476e-05,thc_ref,chol_metric_impl
uspp,mbare,4,ok,128,8.0,0.11211279669202666,2.6560513411953433,-1.5122830828717309,-2.0589758563200324,0.5466927734483016,-0.1917614477533557,0.05922665354810053,0.14485607427208436,-0.08562942072398383,0.036470637151110624,thc_ref,chol_metric_impl
uspp,mbare,6,ok,192,12.0,0.005409677245892431,2.6560513411954902,-1.5706117060412055,-2.1740054389147447,0.6033937328735393,-0.22204026949702407,0.0008980303786259025,0.029826491677372058,-0.028928461298746155,0.006191815407442264,thc_ref,chol_metric_impl
uspp,mbare,8,ok,256,16.0,0.00026450401848612543,2.656051341195353,-1.580194466033814,-2.195257329595064,0.6150628635612498,-0.2264717744008268,-0.0086847296139827,0.008574600997052872,-0.017259330611035573,0.001760310503639534,thc_ref,chol_metric_impl
uspp,mbare,10,ok,320,20.0,2.520482812719502e-05,2.6560513411954227,-1.5709123023985352,-2.2012987004640356,0.6303863980655005,-0.2280689821060014,0.0005974340212961948,0.0025332301280811542,-0.0019357961067849594,0.00016310279846493136,thc_ref,chol_metric_impl
uspp,mbare,12,ok,345,21.5625,9.903904842500617e-06,2.6560513411954223,-1.5721215325301392,-2.2038037818422254,0.6316822493120862,-0.2281472802919217,-0.0006117961103078162,2.8148749891432345e-05,-0.0006399448601992486,8.480461254464777e-05,thc_ref,chol_metric_impl
uspp,mbare_s3,4,ok,192,12.0,0.005409677245817175,2.656051341195361,-1.5235014692232745,-2.102956132214899,0.5794546629916244,-0.2018838736347826,0.04800826719655693,0.10087579837721794,-0.05286753118066101,0.02634821126968373,thc_ref,chol_metric_impl
uspp,mbare_s3,6,ok,288,18.0,8.840839801392456e-05,2.656051341195353,-1.5734824259480156,-2.178796598233805,0.6053141722857893,-0.22423225036650044,-0.0019726895281841905,0.0250353323583119,-0.027008021886496092,0.003999834537965902,thc_ref,chol_metric_impl
uspp,mbare_s3,8,ok,347,21.6875,9.655197146761027e-06,2.6560513411952518,-1.5680121555311919,-2.1934192236125223,0.6254070680813304,-0.2275013878253685,0.0034975808886394955,0.01041270697959451,-0.006915126090955015,0.0007306970790978418,thc_ref,chol_metric_impl
uspp,mbare_s3,10,ok,345,21.5625,9.903904831154875e-06,2.6560513411954507,-1.5701471120525134,-2.2009563994126884,0.6308092873601749,-0.22801952463389497,0.0013626243673179328,0.0028755311794284033,-0.0015129068121104705,0.0002125602705713714,thc_ref,chol_metric_impl
uspp,mbare_s3,12,ok,345,21.5625,9.903904833176045e-06,2.6560513411954227,-1.5721215325301323,-2.203803781842223,0.6316822493120908,-0.22814728029191936,-0.0006117961103009328,2.814874989365279e-05,-0.0006399448601945856,8.480461254697924e-05,thc_ref,chol_metric_impl
uspp,thc_ref,,ok,320,20.0,2.5441679247457528e-05,2.656051341195483,-1.5715097364198314,-2.203831930592117,0.6323221941722854,-0.22823208490446634,,,,,,chol_metric_impl
