fixture,config,c,status,nchol,c_mu,resid,e_1e,e_hf,e_x,e_hartree,e_rpa,de_hf,de_x,de_hartree,de_rpa,ref,sel_impl
ncpp,baseline,4,ok,64,4.0,0.795976407598986,2.4411200568832196,-1.3931465222011399,-1.986697364563395,0.5935508423622551,-0.18180471611819124,0.19489065434239672,0.2346494987763128,-0.039758844433916085,0.05362565764568103,chol_ref,chol_metric_impl
ncpp,baseline,6,ok,96,6.0,0.2424466429224338,2.441120056883202,-1.5368771330313502,-2.194113872886248,0.6572367398548977,-0.21803770622408378,0.05116004351218639,0.027232990453459838,0.023927053058726555,0.017392667539788492,chol_ref,chol_metric_impl
ncpp,baseline,8,ok,128,8.0,0.11223789104256046,2.441120056883202,-1.5884814339445505,-2.2299001563520275,0.641418722407477,-0.23422869655757544,-0.00044425740101394773,-0.008553293012319774,0.008109035611305826,0.001201677206296825,chol_ref,chol_metric_impl
ncpp,baseline,10,ok,160,10.0,0.015719486115006617,2.441120056883191,-1.590038226265153,-2.228471351761335,0.6384331254961821,-0.23573643831385324,-0.0020010497216162992,-0.007124488421627273,0.005123438700010974,-0.0003060645499809722,chol_ref,chol_metric_impl
ncpp,baseline,12,ok,192,12.0,0.004842865660658818,2.4411200568831957,-1.5873660028049421,-2.220847791437849,0.6334817886329069,-0.23527644790214733,0.0006711737385944883,0.0004990719018587164,0.00017210183673577184,0.0001539258617249406,chol_ref,chol_metric_impl
ncpp,chol_ref,,ok,,,,2.4411200568832174,-1.5880371765435366,-2.2213468633397078,0.6333096867961712,-0.23543037376387227,,,,,,
ncpp,f050,4,ok,64,4.0,0.8259909891388005,2.4411200568830598,-1.3915547549212732,-2.0205944633933584,0.6290397084720851,-0.17836369068413688,0.19648242162226337,0.2007523999463494,-0.004269978324086043,0.05706668307973539,chol_ref,chol_metric_impl
ncpp,f050,6,ok,96,6.0,0.29707574243844226,2.441120056883212,-1.5461373141487564,-2.1996047562497676,0.6534674421010112,-0.2162093872307193,0.04189986239478016,0.021742107089940177,0.020157755304839986,0.01922098653315296,chol_ref,chol_metric_impl
ncpp,f050,8,ok,128,8.0,0.06890565111624583,2.441120056883191,-1.5934092425157989,-2.236845454685065,0.643436212169266,-0.23511013535671293,-0.005372065972262252,-0.015498591345357138,0.010126525373094886,0.0003202384071593345,chol_ref,chol_metric_impl
ncpp,f050,10,ok,160,10.0,0.018174347814574398,2.4411200568832,-1.5876965967219825,-2.228752607457738,0.6410560107357555,-0.23550018881910562,0.00034057982155411004,-0.007405744118030189,0.007746323939584299,-6.981505523334652e-05,chol_ref,chol_metric_impl
ncpp,f050,12,ok,192,12.0,0.003469980739076577,2.4411200568832,-1.588087269961967,-2.2232441817144815,0.6351569117525144,-0.2354087864754011,-5.009341843043025e-05,-0.0018973183747736933,0.001847224956343263,2.1587288471180965e-05,chol_ref,chol_metric_impl
ncpp,f050_mbare,4,ok,128,8.0,0.06890565111620528,2.441120056883191,-1.5222694196238689,-2.1075850312549527,0.5853156116310838,-0.2042430530779391,0.06576775691966774,0.1137618320847551,-0.04799407516508736,0.031187320685933162,chol_ref,chol_metric_impl
ncpp,f050_mbare,6,ok,192,12.0,0.0034699807390948935,2.4411200568832,-1.5746759516861217,-2.20838761063597,0.6337116589498482,-0.23075552169898222,0.013361224857414866,0.012959252703737878,0.00040197215367698824,0.004674852064890045,chol_ref,chol_metric_impl
ncpp,f050_mbare,8,ok,256,16.0,0.00039360873666171545,2.4411200568831926,-1.5854468218377542,-2.216800265292851,0.6313534434550967,-0.23500994709971143,0.002590354705782394,0.0045465980468568645,-0.0019562433410744706,0.00042042666416083896,chol_ref,chol_metric_impl
ncpp,f050_mbare,10,ok,320,20.0,3.9263369317825996e-05,2.441120056883187,-1.5836183088620492,-2.2194045127575253,0.635786203895476,-0.2352699877901684,0.0044188676814873595,0.001942350582182506,0.0024765170993048535,0.0001603859737038804,chol_ref,chol_metric_impl
ncpp,f050_mbare,12,ok,367,22.9375,9.963481465914049e-06,2.4411200568832,-1.5877336261790993,-2.2209976103494973,0.633263984170398,-0.235377942747595,0.00030355036443729944,0.0003492529902104913,-4.570262577319184e-05,5.2431016277276754e-05,chol_ref,chol_metric_impl
