 -5.0000E+00  1.7595E+00  1.7515E+00  1.0540E+00  1.0520E+00
 -4.9500E+00  1.7453E+00  1.7375E+00  1.0505E+00  1.0486E+00
 -4.9000E+00  1.7310E+00  1.7234E+00  1.0469E+00  1.0450E+00
 -4.8500E+00  1.7166E+00  1.7092E+00  1.0433E+00  1.0414E+00
 -4.8000E+00  1.7022E+00  1.6949E+00  1.0396E+00  1.0378E+00
 -4.7500E+00  1.6876E+00  1.6805E+00  1.0359E+00  1.0340E+00
 -4.7000E+00  1.6729E+00  1.6660E+00  1.0320E+00  1.0302E+00
 -4.6500E+00  1.6581E+00  1.6514E+00  1.0281E+00  1.0263E+00
 -4.6000E+00  1.6432E+00  1.6366E+00  1.0241E+00  1.0223E+00
 -4.5500E+00  1.6282E+00  1.6218E+00  1.0200E+00  1.0183E+00
 -4.5000E+00  1.6131E+00  1.6068E+00  1.0159E+00  1.0141E+00
 -4.4500E+00  1.5979E+00  1.5918E+00  1.0116E+00  1.0099E+00
 -4.4000E+00  1.5826E+00  1.5766E+00  1.0073E+00  1.0055E+00
 -4.3500E+00  1.5671E+00  1.5613E+00  1.0028E+00  1.0011E+00
 -4.3000E+00  1.5515E+00  1.5458E+00  9.9828E-01  9.9661E-01
 -4.2500E+00  1.5358E+00  1.5303E+00  9.9364E-01  9.9199E-01
 -4.2000E+00  1.5200E+00  1.5146E+00  9.8890E-01  9.8726E-01
 -4.1500E+00  1.5041E+00  1.4988E+00  9.8404E-01  9.8243E-01
 -4.1000E+00  1.4880E+00  1.4829E+00  9.7908E-01  9.7748E-01
 -4.0500E+00  1.4718E+00  1.4668E+00  9.7400E-01  9.7242E-01
 -4.0000E+00  1.4554E+00  1.4506E+00  9.6880E-01  9.6724E-01
 -3.9500E+00  1.4390E+00  1.4343E+00  9.6347E-01  9.6194E-01
 -3.9000E+00  1.4223E+00  1.4178E+00  9.5801E-01  9.5650E-01
 -3.8500E+00  1.4056E+00  1.4011E+00  9.5242E-01  9.5093E-01
 -3.8000E+00  1.3887E+00  1.3844E+00  9.4670E-01  9.4522E-01
 -3.7500E+00  1.3716E+00  1.3674E+00  9.4082E-01  9.3937E-01
 -3.7000E+00  1.3544E+00  1.3503E+00  9.3480E-01  9.3336E-01
 -3.6500E+00  1.3370E+00  1.3331E+00  9.2862E-01  9.2720E-01
 -3.6000E+00  1.3195E+00  1.3157E+00  9.2227E-01  9.2088E-01
 -3.5500E+00  1.3018E+00  1.2981E+00  9.1576E-01  9.1439E-01
 -3.5000E+00  1.2839E+00  1.2804E+00  9.0908E-01  9.0773E-01
 -3.4500E+00  1.2659E+00  1.2624E+00  9.0221E-01  9.0088E-01
 -3.4000E+00  1.2477E+00  1.2443E+00  8.9515E-01  8.9384E-01
 -3.3500E+00  1.2293E+00  1.2261E+00  8.8789E-01  8.8660E-01
 -3.3000E+00  1.2107E+00  1.2076E+00  8.8043E-01  8.7916E-01
 -3.2500E+00  1.1920E+00  1.1890E+00  8.7275E-01  8.7151E-01
 -3.2000E+00  1.1730E+00  1.1701E+00  8.6485E-01  8.6363E-01
 -3.1500E+00  1.1539E+00  1.1511E+00  8.5671E-01  8.5551E-01
 -3.1000E+00  1.1345E+00  1.1318E+00  8.4833E-01  8.4716E-01
 -3.0500E+00  1.1150E+00  1.1124E+00  8.3970E-01  8.3854E-01
 -3.0000E+00  1.0952E+00  1.0927E+00  8.3080E-01  8.2967E-01
